"codigo_dane","departamento","municipio"
"05150","Antioquia","Carolina"
"05674","Antioquia","San Vicente Ferrer"
"05873","Antioquia","Vigía del Fuerte"
"13030","Bolívar","Altos del Rosario"
"13468","Bolívar","Santa Cruz de Mompox"
"13647","Bolívar","San Estanislao"
"13667","Bolívar","San Martín de Loba"
"13683","Bolívar","Santa Rosa"
"15401","Boyacá","La Victoria"
"19418","Cauca","López de Micay"
"19532","Cauca","Patía"
"19548","Cauca","Piendamó - Tunía"
"19693","Cauca","San Sebastián"
"19760","Cauca","Sotará - Paispamba"
"20013","Cesar","Agustín Codazzi"
"20238","Cesar","El Copey"
"23678","Córdoba","San Carlos"
"25653","Cundinamarca","San Cayetano"
"25843","Cundinamarca","Villa de San Diego de Ubaté"
"27025","Chocó","Alto Baudó"
"27050","Chocó","Atrato"
"27099","Chocó","Bojayá"
"27135","Chocó","El Cantón del San Pablo"
"27150","Chocó","Carmen del Darién"
"27250","Chocó","El Litoral del San Juan"
"27425","Chocó","Medio Atrato"
"27430","Chocó","Medio Baudó"
"27450","Chocó","Medio San Juan"
"27493","Chocó","Nuevo Belén de Bajirá"
"27600","Chocó","Río Quito"
"27660","Chocó","San José del Palmar"
"27810","Chocó","Unión Panamericana"
"47258","Magdalena","El Piñón"
"47545","Magdalena","Pijiño del Carmen"
"47660","Magdalena","Sabanas de San Ángel"
"47960","Magdalena","Zapayán"
"52019","Nariño","Albán"
"52051","Nariño","Arboleda"
"52203","Nariño","Colón"
"52224","Nariño","Cuaspud Carlosama"
"52427","Nariño","Magüí"
"52696","Nariño","Santa Bárbara"
"52699","Nariño","Santacruz"
"52835","Nariño","San Andrés de Tumaco"
"54344","Norte de Santander","Hacarí"
"68370","Santander","Jordán"
"68673","Santander","San Benito"
"70523","Sucre","Palmito"
"70702","Sucre","San Juan de Betulia"
"70742","Sucre","San Luis de Sincé"
"70820","Sucre","Santiago de Tolú"
"70823","Sucre","San José de Toluviejo"
"73055","Tolima","Armero"
"73443","Tolima","San Sebastián de Mariquita"
"76111","Valle del Cauca","Guadalajara de Buga"
"76126","Valle del Cauca","Calima"
"86865","Putumayo","Valle del Guamuez"
"88564","Archipiélago de San Andrés, Providencia y Santa Catalina","Providencia"
"91263","Amazonas","El Encanto"
"91405","Amazonas","La Chorrera"
"91407","Amazonas","La Pedrera"
"91430","Amazonas","La Victoria"
"91460","Amazonas","Mirití - Paraná"
"91530","Amazonas","Puerto Alegría"
"91536","Amazonas","Puerto Arica"
"91798","Amazonas","Tarapacá"
"94885","Guainía","La Guadalupe"
"94887","Guainía","Pana Pana"
"94888","Guainía","Morichal"
"97161","Vaupés","Carurú"
"97511","Vaupés","Pacoa"
"97666","Vaupés","Taraira"
"97777","Vaupés","Papunahua"
"97889","Vaupés","Yavaraté"
